,ADA-USD,BCH-USD,BNB-USD,BTC-USD,DOGE-USD,ETH-USD,KMD-USD,LTC-USD,XLM-USD,XRP-USD
2019-07-30 20:00:00+01:00,0.06013000011444092,318.6700134277344,26.791915893554688,9582.23046875,0.0027788467705249786,210.3699951171875,1.061711072921753,90.41000366210938,0.08343999832868576,0.3179999887943268
2019-07-31 00:00:00+01:00,0.06027999892830849,328.5,27.452674865722656,9685.599609375,0.0028092009015381336,211.88999938964844,1.0684651136398315,90.87999725341797,0.08423999696969986,0.3190999925136566
2019-07-31 04:00:00+01:00,0.06109999865293503,330.05999755859375,27.486989974975586,9774.8896484375,0.002834718208760023,213.5,1.0556881427764893,92.5199966430664,0.0842600017786026,0.3197999894618988
2019-07-31 08:00:00+01:00,0.060169998556375504,331.07000732421875,27.640541076660156,9777.349609375,0.002835428575053811,213.3300018310547,1.0627968311309814,93.33000183105469,0.0842600017786026,0.320499986410141
2019-07-31 12:00:00+01:00,0.06064999848604202,328.739990234375,27.74840545654297,9969.2197265625,0.0028904590290039778,216.0500030517578,1.0345849990844727,95.69000244140625,0.08412999659776688,0.3208000063896179
2019-07-31 16:00:00+01:00,0.059950001537799835,324.79998779296875,27.593843460083008,9990.5302734375,0.0027973484247922897,215.4199981689453,1.0320217609405518,98.4000015258789,0.08323000371456146,0.31630000472068787
2019-07-31 20:00:00+01:00,0.05976000055670738,326.239990234375,27.615825653076172,10012.990234375,0.0028036371804773808,216.1300048828125,1.0363444089889526,98.91000366210938,0.08360999822616577,0.3183000087738037
2019-08-01 00:00:00+01:00,0.05933000147342682,323.45001220703125,27.66221046447754,10040.73046875,0.0029118116945028305,214.5,1.0402196645736694,97.12999725341797,0.0835300013422966,0.3165999948978424
2019-08-01 04:00:00+01:00,0.05919000133872032,321.32000732421875,27.736799240112305,9964.8095703125,0.002889794996008277,213.36000061035156,1.0333508253097534,96.63999938964844,0.08303000032901764,0.31450000405311584
2019-08-01 08:00:00+01:00,0.05823000147938728,322.45001220703125,27.949535369873047,9954.01953125,0.002886665752157569,213.02999877929688,1.025264024734497,96.5,0.08263999968767166,0.3125999867916107
2019-08-01 12:00:00+01:00,0.058150000870227814,323.5199890136719,28.560760498046875,10003.400390625,0.0028010359965264797,213.13999938964844,1.0073726177215576,97.12000274658203,0.0819299966096878,0.3127000033855438
2019-08-01 16:00:00+01:00,0.05811209976673126,329.9200134277344,28.431882858276367,10192.580078125,0.002853572368621826,215.22999572753906,1.003744125366211,99.97000122070312,0.08263000100851059,0.31380000710487366
2019-08-01 20:00:00+01:00,0.058877404779195786,329.1000061035156,28.686565399169922,10402.66015625,0.002912716707214713,217.33999633789062,0.9972934126853943,99.0199966430664,0.08282999694347382,0.3165999948978424
2019-08-02 00:00:00+01:00,0.05835448578000069,326.4100036621094,28.418546676635742,10415.8896484375,0.002916267141699791,216.77000427246094,1.0821434259414673,97.19999694824219,0.08280999958515167,0.3160000145435333
2019-08-02 04:00:00+01:00,0.05831870436668396,329.8599853515625,28.44331169128418,10483.2998046875,0.002935696393251419,220.32000732421875,1.065238356590271,97.87000274658203,0.0826599970459938,0.3165999948978424
2019-08-02 08:00:00+01:00,0.058323848992586136,329.9700012207031,28.237546920776367,10513.51953125,0.002943483181297779,220.08999633789062,1.0414674282073975,97.2699966430664,0.08335000276565552,0.31619998812675476
2019-08-02 12:00:00+01:00,0.05790000036358833,330.30999755859375,28.151702880859375,10591.23046875,0.0028596536722034216,220.38999938964844,1.0453623533248901,97.12999725341797,0.08315999805927277,0.3149999976158142
2019-08-02 16:00:00+01:00,0.056790001690387726,325.0400085449219,28.059030532836914,10462.3701171875,0.0029293543193489313,217.5,1.0556137561798096,93.87999725341797,0.08252999931573868,0.3109999895095825
2019-08-02 20:00:00+01:00,0.05770999938249588,325.67999267578125,27.875774383544922,10519.2099609375,0.002945364685729146,217.3800048828125,1.0813696384429932,94.79000091552734,0.0819299966096878,0.31220000982284546
2019-08-03 00:00:00+01:00,0.057999998331069946,343.1000061035156,28.147153854370117,10792.6201171875,0.0029140072874724865,223.33999633789062,1.0749449729919434,95.87999725341797,0.08291000127792358,0.31520000100135803
2019-08-03 04:00:00+01:00,0.05747000128030777,340.1300048828125,27.9185848236084,10795.6904296875,0.0029149334877729416,223.0500030517578,1.0590925216674805,95.41000366210938,0.08229000121355057,0.3140999972820282
2019-08-03 08:00:00+01:00,0.05756000056862831,338.1700134277344,27.804927825927734,10789.3896484375,0.0029132054187357426,223.1699981689453,1.0704411268234253,95.2300033569336,0.08231999725103378,0.3151000142097473
2019-08-03 12:00:00+01:00,0.057590000331401825,341.55999755859375,27.650815963745117,10803.0703125,0.0029162969440221786,222.97000122070312,1.0582917928695679,95.08000183105469,0.08247999846935272,0.3172999918460846
2019-08-03 16:00:00+01:00,0.057554978877305984,339.8800048828125,27.701295852661133,10863.5595703125,0.0029353806748986244,222.22000122070312,1.0362980365753174,95.0999984741211,0.08233000338077545,0.31690001487731934
2019-08-03 20:00:00+01:00,0.057617928832769394,335.739990234375,27.84662437438965,10838.919921875,0.0029266595374792814,222.1199951171875,1.034194827079773,94.18000030517578,0.08263000100851059,0.3156000077724457
2019-08-04 00:00:00+01:00,0.057401400059461594,335.2900085449219,27.70816421508789,10836.2001953125,0.0029257740825414658,221.1999969482422,1.0192530155181885,93.83999633789062,0.08230999857187271,0.31610000133514404
2019-08-04 04:00:00+01:00,0.05669267848134041,333.44000244140625,27.38875961303711,10736.9501953125,0.0028988495469093323,219.1300048828125,1.0230791568756104,92.0,0.0813400000333786,0.3140000104904175
